report_id,company_name,isin,reported_at,pdf_path,pages_path,blocks_path,year_month,DATE,SYMBOL,COMPANY_NAME,TICKER,SECTOR,MOMENTUM,VALUE,SIZE,BETA,SEDOL,ISIN,RETURNS,report_type
f_aU5U7A3HrFN7EiQok6NlrA,WILLIAMS-SONOMA INC,US9699041011,2024-08-23,data/reports/WILLIAMS-SONOMA_INC/f_aU5U7A3HrFN7EiQok6NlrA_file.pdf,data/reports/WILLIAMS-SONOMA_INC/f_aU5U7A3HrFN7EiQok6NlrA_pages.txt,data/reports/WILLIAMS-SONOMA_INC/f_aU5U7A3HrFN7EiQok6NlrA_blocks.txt,2024-08,2024-08-30,96990410,"Williams-Sonoma, Inc.",WSM,Consumer Discretionary,113.385,0.141,9.7282674099511,1.59602,2967589,US9699041011,-0.131562,Quarterly
f_b7VRHa7kB8c3bq9ulaWKgS,WILLIAMS-SONOMA INC,US9699041011,2024-05-24,data/reports/WILLIAMS-SONOMA_INC/f_b7VRHa7kB8c3bq9ulaWKgS_file.pdf,data/reports/WILLIAMS-SONOMA_INC/f_b7VRHa7kB8c3bq9ulaWKgS_pages.txt,data/reports/WILLIAMS-SONOMA_INC/f_b7VRHa7kB8c3bq9ulaWKgS_blocks.txt,2024-05,2024-05-31,96990410,"Williams-Sonoma, Inc.",WSM,Consumer Discretionary,157.99,-0.059,9.82779093537389,1.7599,2967589,US9699041011,0.0224563,Quarterly
f_c3nCcfp5RnPAd9pf4i5Nmo,WHIRLPOOL CORP,US9633201069,2024-07-25,data/reports/WHIRLPOOL_CORP/f_c3nCcfp5RnPAd9pf4i5Nmo_file.pdf,data/reports/WHIRLPOOL_CORP/f_c3nCcfp5RnPAd9pf4i5Nmo_pages.txt,data/reports/WHIRLPOOL_CORP/f_c3nCcfp5RnPAd9pf4i5Nmo_blocks.txt,2024-07,2024-07-31,96332010,Whirlpool Corporation,WHR,Consumer Discretionary,-24.5115,2.157,8.63371193550433,1.78954,2960384,US9633201069,-0.00225043,Quarterly
f_dblIFBbKshmhbcu4ObatA3,WILLIAMS COMPANIES INC,US9694571004,2024-11-06,data/reports/WILLIAMS_COMPANIES_INC/f_dblIFBbKshmhbcu4ObatA3_file.pdf,data/reports/WILLIAMS_COMPANIES_INC/f_dblIFBbKshmhbcu4ObatA3_pages.txt,data/reports/WILLIAMS_COMPANIES_INC/f_dblIFBbKshmhbcu4ObatA3_blocks.txt,2024-11,2024-11-29,96945710,"Williams Companies, Inc.",WMB,Energy,49.2509,-0.121,11.1686496274805,0.360104,2967181,US9694571004,0.117434,Quarterly
f_fjCRSLYFcurcfeEfgmP2Xq,WILLIAMS-SONOMA INC,US9699041011,2024-03-20,data/reports/WILLIAMS-SONOMA_INC/f_fjCRSLYFcurcfeEfgmP2Xq_file.pdf,data/reports/WILLIAMS-SONOMA_INC/f_fjCRSLYFcurcfeEfgmP2Xq_pages.txt,data/reports/WILLIAMS-SONOMA_INC/f_fjCRSLYFcurcfeEfgmP2Xq_blocks.txt,2024-03,2024-03-28,96990410,"Williams-Sonoma, Inc.",WSM,Consumer Discretionary,101.104,-0.203,9.9100923544667,1.60772,2967589,US9699041011,0.348151,Annual
f_g2DBd3wi,WHIRLPOOL CORP,US9633201069,2023-07-25,data/reports/WHIRLPOOL_CORP/f_g2DBd3wi_file.pdf,data/reports/WHIRLPOOL_CORP/f_g2DBd3wi_pages.txt,data/reports/WHIRLPOOL_CORP/f_g2DBd3wi_blocks.txt,2023-07,2023-07-31,96332010,Whirlpool Corporation,WHR,Consumer Discretionary,-9.71771,-0.458,8.96398779994631,1.33289,2960384,US9633201069,-0.0304456,Quarterly
f_gE3n822ms9oBcBAw4QKHwM,ADOBE INC,US00724F1012,2024-03-27,data/reports/ADOBE_INC/f_gE3n822ms9oBcBAw4QKHwM_file.pdf,data/reports/ADOBE_INC/f_gE3n822ms9oBcBAw4QKHwM_pages.txt,data/reports/ADOBE_INC/f_gE3n822ms9oBcBAw4QKHwM_blocks.txt,2024-03,2024-03-28,00724F10,Adobe Inc.,ADBE,Information Technology,47.7825,-0.621,12.3281628244052,1.03431,2008154,US00724F1012,-0.0993788999999999,Quarterly
f_rAcxsCK1,WILLIAMS-SONOMA INC,US9699041011,2023-09-01,data/reports/WILLIAMS-SONOMA_INC/f_rAcxsCK1_file.pdf,data/reports/WILLIAMS-SONOMA_INC/f_rAcxsCK1_pages.txt,data/reports/WILLIAMS-SONOMA_INC/f_rAcxsCK1_blocks.txt,2023-09,2023-09-29,96990410,"Williams-Sonoma, Inc.",WSM,Consumer Discretionary,19.5448,0.414,9.20075680577815,1.1018,2967589,US9699041011,0.1005669999999999,Quarterly
f_tO4H5YED,WHIRLPOOL CORP,US9633201069,2023-04-25,data/reports/WHIRLPOOL_CORP/f_tO4H5YED_file.pdf,data/reports/WHIRLPOOL_CORP/f_tO4H5YED_pages.txt,data/reports/WHIRLPOOL_CORP/f_tO4H5YED_blocks.txt,2023-04,2023-04-28,96332010,Whirlpool Corporation,WHR,Consumer Discretionary,-28.2904,-0.611,8.91108184951852,1.00791,2960384,US9633201069,0.0573397999999999,Quarterly
f_y0o9M56L,WHIRLPOOL CORP,US9633201069,2023-10-26,data/reports/WHIRLPOOL_CORP/f_y0o9M56L_file.pdf,data/reports/WHIRLPOOL_CORP/f_y0o9M56L_pages.txt,data/reports/WHIRLPOOL_CORP/f_y0o9M56L_blocks.txt,2023-10,2023-10-31,96332010,Whirlpool Corporation,WHR,Consumer Discretionary,1.71996,-0.278,8.63481252693881,1.39928,2960384,US9633201069,-0.217951,Quarterly
